source	First English Translation	Final Refined Translation
Durante o tempo que passam no Chile, percebem a necessidade de uma tradução para o espanhol do Livro de Mórmon.	1	1
Posteriormente, o mesmo sonho se repetiu.	1	1
Há um tipo de alegria e satisfação que somente é compreendida por meio de sentimentos espirituais.	1	2
5. Exatidão dos Dados Informados.	1	1
As ordenanças continuarão na sua lista até que alguém as aceite.	1	1
Além de suas próprias provações pessoais, muitos enfrentaram e continuam a enfrentar preconceitos e mal-entendidos culturais mesmo em sua ala ou seu ramo.	2	2
Ocorreu um erro ao salvar seu retrato.	1	1
Clique na caixa de seleção à esquerda de cada pessoa cujas ordenanças você deseja cancelar a reserva.	1	2
A indexação de registros é o acelerador que dá ao site FamilySearch.org o poder de conectar você aos seus antepassados.	2	1
Tabela para listar até quatro gerações de antepassados.	1	2
E essa é a razão, porque o Espírito foi persistente.	1	2
Apesar de as ordenanças vicárias realizadas fora de sequência serem válidas, elas tornam-se eficazes somente depois que forem realizadas as ordenanças exigidas previamente.	2	2
No mundo todo, como irmãos e irmãs no evangelho, podemos aprender uns com os outros, tornar-nos mais unidos e aumentar nosso amor mútuo.	2	1
O chamado, Jorge Orlando Cocco Santangelo Prêmio de Compra	2	1
O membro da Igreja John M. Bernhisel copiou partes de um manuscrito do Velho Testamento e um manuscrito separado do Novo Testamento cerca de um ano após a morte de Joseph Smith, quando Emma Smith emprestou a Bernhisel os manuscritos por um período de quase três meses.	1	2
Enquanto as dimensões, funções e alguns aspectos da sua aparência foram especificados por revelação, outros elementos foram deixados para os líderes e trabalhadores locais decidirem.	1	1
Acabei de terminar meu primeiro lote!	1	2
Incentivamos você a examinar todas as informações encontradas em cada uma das diretrizes antes de enviar.	2	1
Alguns dias depois de enviar essas cartas, Joseph e seus companheiros na prisão foram levados da cadeia e apresentados a um tribunal superior em Gallatin.	1	2
Junte-se a nós para preparar o lançamento oficial do novo programa de indexação com base no navegador no site FamilySearch.org!	1	1
Talvez esse legado seja o que inspira as gerações futuras a segui-los, ou talvez isso realmente esteja no sangue da família.	2	1
Este projeto não tem nenhum lote disponível para retirada.	2	1
Indexação na Internet Não consigo ver a página inteira das instruções do projeto	2	2
Criança Nascida Antes do Pai	1	1
Para a imagem acima, este campo seria indexado como:	1	1
Cristo orando no Getsêmani	1	1
Fiquei muito magoada ao ouvi-los dizer velha mãe Smith Lá vai a velha mãe Smith.	2	1
Se você estiver usando esse sistema operacional, baixe e use Firefox, Chrome ou Safari.	2	1
Eu tinha pesquisado por 20 anos para encontrar qualquer registro de casamento ou divórcio dos pais dela.	2	2
Qual é o propósito desta nova página?	1	1
Somos gratos por seu trabalho dedicado nessa obra extraordinária.	1	1
Em sua solicitação, forneça as seguintes informações:	1	1
mas agora se sentia abandonado.	1	1
Em 1976, John F. e Carmen ODonnal foram chamados para presidir a Missão Cidade da Guatemala e, depois, a Missão Guatemala Quetzaltenango.	1	1
Kimball assegurou a ele que os membros da área haviam expressado confiança nele.	2	1
Nomeado para a Junta Educacional da Igreja	1	1
Você será notificado quando um patriarca for atribuído.	1	1
Sem dúvida, milhares de vidas serão modificadas com o resultado do esforço de hoje.	2	1
Indexar registros históricos, talvez da terra natal de um antepassado.	1	1
Sabrina Jill Squires Estados Unidos Colagem e tinta acrílica sobre painel	2	1
Entrevistas recentes com diretores de indexação da estaca e líderes do sacerdócio mostram como determinadas estacas estão combinando perfeitamente a indexação com outras atividades de história da família em um esforço harmonioso que abençoa a vida em ambos os lados do véu.	2	1
Sou tão grata por essas histórias terem sido compartilhadas, mas, não apenas compartilhadas preservadas.	1	1
Conforme esperado, Joseph a ensinou sobre isso e perguntou se ela seria selada a ele.	1	2
Suécia, Registros da Igreja de rebro, 16131918; índice 16351860	1	2
Coloque mais informações e detalhes aqui.	2	1
Mercy perdera outro marido no auge da vida.	2	1
Agora você pode deslizar o nome da pessoa para removê-la do Histórico ou da lista de Antepassados com Tarefas.	1	2
A Firma Unida desempenhou um papel essencial na administração da Igreja de 1832 a 1834, exatamente como Whitney desempenhou um papel primordial na própria firma.	1	1
E pensava: Não sou tão digna.	1	2
3 Néfi 11:10; 15:2124; ver também João 10:16.	1	1
Os seis missionários e o motorista começaram a procurar por gasolina, a fim de continuar com sua jornada; por fim, trocaram meia saca de arroz por quinze litros de combustível mesmo sabendo que não seria suficiente para os quase 600 quilômetros de péssimas estradas.	2	1
Pouco se sabe sobre o conhecimento e os sentimentos de Emma em relação a esses casamentos, alguns dos quais envolviam compromissos nesta vida, ao passo que outros envolviam compromissos somente para a vida futura.	1	2
Clique na seta para fechar o painel.	1	1
E compreendes seu pensar,	2	2
Os acontecimentos em Carthage levaram Joseph Fielding a encher várias páginas de seu diário com comentários sobre a vida, missão e morte de Joseph Smith.	1	1
O Élder Quentin L. Cook, que falará mais tarde nesta conferência, disse que A liderança da Igreja conclamou a nova geração a liderar o caminho no uso da tecnologia para vivenciar o espírito de Elias, pesquisar seus antepassados e realizar as ordenanças do templo para eles.	2	1
Annie Noble se filiou à Igreja Batista quando se casou.	1	1
Esse recurso aumenta o valor do Catálogo do FamilySearch como auxílio de pesquisa, tornando-se muito mais eficiente passar dos itens do catálogo para os dados digitais online.	1	1
e mediu mais mil, e me fez passar por águas que me davam pelos lombos.	1	2
Defina o endereço de IP estático da impressora.	1	1
O templo ainda estava longe de ser terminado e, se os santos fugissem da cidade, dificilmente conseguiriam receber sua investidura.	1	2
Precisamos especialmente de ajuda na indexação de registros em espanhol, francês, italiano e português.	2	2
Índice por Número da Seção	1	1
Senhorita Dew?, ela disse com um sotaque encantador.	2	1
Nossas orações devem ser sinceras	1	1
Maneiras Simples de Comemorar o Mês da História da Família: Uma Viagem ao Passado	2	1
Naquele dia, lembro-me de estar muito cansado, e não querer fazer nada.	2	1
Se você enviou os dados da pessoa num arquivo GEDCOM, acrescente uma data ou local de falecimento.	2	1
As Sociedades de Socorro indicaram pelo menos um auxílio de serviço social por estaca e alguns no âmbito de ala quando necessário.	2	2
Da mesma forma, ele espera que o aplicativo seja disponibilizado gratuitamente aos milhares de alunos nas salas de aula nos Estados Unidos.	2	2
Leve seus antepassados com você.	1	1
Alguns dias mais tarde, uma mensagem de Joseph Ball, um missionário que trabalhava nas Ilhas Fox, relatou que os dissidentes de Kirtland haviam enviado cartas para os conversos de Wilford daquele local, tentando lhes influenciar a fé.	2	1
Informações da conta nomes de usuário e senhas podem ser encontradas em três locais, como mostrado abaixo:	2	1
Esta é uma nova pasta vazia.	1	2
Para mim foi uma resposta às minhas orações.	1	1
Sacrificar o Futebol pelo Serviço	2	2
Quero entrar em contato com alguém que esteja trabalhando em minha linhagem de antepassados.	2	1
Outras pessoas achavam que, como governador, ele não deveria participar de uma nova religião que poderia dividir o povo.	2	1
Um usuário da Árvore Familiar digitou uma data ou local, mas não selecionou um padrão.	1	2
Converse com eles sobre o que eles querem fazer.	2	1
Durante a cerimônia, o presidente Wilford Woodruff ativou um interruptor elétrico e uma máquina abaixou o pináculo de granito no local.	1	2
Élder Quentin L. Cook, abril de 2014	1	1
Sim, mas ainda levará um tempo para desenvolver esses recursos.	1	1
Cada um recebeu uma pequena lente de aumento e um certificado de conclusão.	2	1
Na semana seguinte, enquanto Phelps continuava a pensar sobre o que havia acontecido, uma passagem do Novo Testamento veio a sua mente.	2	1
Conte o número de registros na imagem.	1	1
O texto da oração foi adicionado a Doutrina e Convênios como seção 109, em 1876.	1	1
A maioria dos casos foi julgada por um tribunal do bispo ou pelo sumo conselho.	2	1
Em muitos casos o software do FamilySearch ajuda nesse processo.	2	1
Vou como um cordeiro para o matadouro, disse o profeta, mas estou calmo como uma manhã de verão; tenho a consciência limpa em relação a Deus e em relação a todos os homens. Morrerei inocente.	2	1
Altere seu perfil de modo a incluir o país em que reside.	2	1
Peça aos seus pais e avós para falar sobre a vida deles e o que eles se lembram de seus parentes falecidos, e grave suas histórias usando o aplicativo.	1	1
N. Eldon Tanner era primeiro conselheiro na Primeira Presidência na época da desobrigação da irmã Spafford; Tanner e ela foram bons amigos.	1	2
Entendo que algumas pessoas possam estar com medo de nós, porque elas não nos conhecem.	1	2
O usuário não foi encontrado.	1	1
Acredito que nunca houve uma família mais obediente do que a minha e	1	2
Sinto-me grato por estar aqui com minha esposa, Ruth.	1	1
Isso torna o programa mais fácil para aqueles que começarem a usar o programa pela primeira vez.	2	1
Spencer W. Kimball, presidente da Igreja, anuncia que um templo será construído em Tóquio.	1	2
Em vez de seguir um plano de aula específico, ajude-os com suas necessidades e interesses.	2	1
