source	First English Translation	Final Refined Translation
Was kann ich machen, damit die richtigen Namen und Daten im neuen FamilySearch angezeigt werden?	1	2
Ich will gehn, ich will tun, was Gott mir sagt und dann	1	2
Die Fhrer der Kirche sind ehrlich davon berzeugt, dass Sie das Reich Gottes aufbauen knnen wie keine Generation vor Ihnen, sagte er. Wir wissen, dass die Kirche und das Reich Gottes nur weiter aufgerichtet werden und wachsen knnen, wenn Ihre Generation erfolgreich ist.	1	1
Nur Unterkategorien Ihrer Einheit mit einem grnen Punkt knnen umbenannt werden.	1	1
Informieren Sie FamilySearch, um sich als Administrator zu registrieren.	2	1
Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Belgisch-Niederlndischen Mission Brssel ttig sein.	2	1
Nach einer Ansprache, die am 25. Juni 2010 bei einem Seminar fr neue Missionsprsidenten gehalten wurde.	2	1
Das Spiel wird im Kreis gespielt.	1	1
Das Programm zeichnet jeden Fall eines Kunden auf.	1	2
Richtlinien fr die FHV-Versammlung fr Wohnen, Familie und eigene Entfaltung und diesbezgliche Aktivitten	1	2
Getauft, aber nicht konfirmiert	1	1
Die Prsidentschaften der Jungen Mnner und der Jungen Damen	1	1
Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.	1	2
Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.	1	2
Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.	2	1
Wenn man mit der Lge lebt, kann man nie vllig frei sein. Nur jemand, der stndig eine solche Last mit sich herumtrgt oder -getragen hat, kann das nachempfinden. Wir drfen nie vergessen: Etwas Falsches wird nicht dadurch richtig, dass viele es tun. Eine falsche Tat wird auch dadurch nicht richtig, weil sie fr niemanden sichtbar wird.	2	1
Im Mrz 1944, der Krieg war inzwischen auf seinem Hhepunkt, wurde das Schiff vor Saipan im Sdpazifik angegriffen. Arthur war einer derjenigen an Bord, die auf See verschollen blieben. Der blaue Stern wurde von seinem Ehrenplatz am vorderen Fenster des Hauses der Familie Patton entfernt. An seine Stelle kam ein goldener Stern, der anzeigte, dass derjenige, fr den der blaue Stern gestanden hatte, im Kampf gefallen war. Ein Licht erlosch im Leben von Mrs. Patton.	2	1
